invoice_number,invoice_date,invoice_type,direction,product_code,product_name,quantity,unit_price,total_value,partner_cui,partner_name,linked_invoice
FC2095,2024-03-01,factura,issued,P012,Lant transmisie 428H-128L,12,55.08,660.96,RO22334455,SC Utilaje Iasi SRL,
FC2095,2024-03-01,factura,issued,P011,Semering ax roata 50x72x10,27,9.59,258.93,RO22334455,SC Utilaje Iasi SRL,
FC2095,2024-03-01,factura,issued,P001,Rulment 6205-2RS SKF,31,28.77,891.87,RO22334455,SC Utilaje Iasi SRL,
FC2095,2024-03-01,factura,issued,P014,Alternator 14V 55A reconditionat,4,370.94,1483.76,RO22334455,SC Utilaje Iasi SRL,
RF5338,2024-03-03,factura,received,P011,SEMERING NBR 50x72x10 DIN3760,120,4.19,502.8,RO40000001,SC Rulmenti SA Barlad,
FC1001,2024-03-04,factura,issued,P024,Garnitura capac distributie,28,14.93,418.04,RO12345678,SC Agro Muntenia SRL,
FC1001,2024-03-04,factura,issued,P026,Buton contact pornire,22,8.75,192.5,RO12345678,SC Agro Muntenia SRL,
FC1001,2024-03-04,factura,issued,P004,Bujie tractor U650,72,12.29,884.88,RO12345678,SC Agro Muntenia SRL,
FC1273,2024-03-04,factura,issued,P018,Arc supapa motor D-110,32,6.41,205.12,RO78901234,SC Holding Cereale SRL,
FC1273,2024-03-04,factura,issued,P010,Bolt piston 80mm,11,18.47,203.17,RO78901234,SC Holding Cereale SRL,
FC1273,2024-03-04,factura,issued,P011,Semering ax roata 50x72x10,39,9.63,375.57,RO78901234,SC Holding Cereale SRL,
FC1781,2024-03-04,factura,issued,P017,Pompa injectie Lucas DPC,3,800.6,2401.8,RO67890123,SC Agrotrans Olt SRL,
FC1781,2024-03-04,factura,issued,P016,Injector motor diesel Perkins,5,148.22,741.1,RO67890123,SC Agrotrans Olt SRL,
FC1983,2024-03-04,factura,issued,P012,Lant transmisie 428H-128L,8,54.47,435.76,RO01234567,SC Mecanica Campului SRL,
FC1983,2024-03-04,factura,issued,P001,Rulment 6205-2RS SKF,32,28.05,897.6,RO01234567,SC Mecanica Campului SRL,
FC2038,2024-03-05,factura,issued,P013,Termostat motor 82C,8,31.14,249.12,RO11223344,SC Agro Suceava SRL,
FC2038,2024-03-05,factura,issued,P005,Disc frictiune ambreiaj U650,10,214.41,2144.1,RO11223344,SC Agro Suceava SRL,
FC2038,2024-03-05,factura,issued,P004,Bujie tractor U650,44,12.43,546.92,RO11223344,SC Agro Suceava SRL,
RF5388,2024-03-05,factura,received,P001,RULMENT 6205-2RS/C3 DIN625,226,14.27,3225.02,RO40000001,SC Rulmenti SA Barlad,
